1 sheet(s) availble.
Sheet: 'Sheet1' (column count: 8)
[StageSequenceData],,,,,,,,
stageId,stageName,artist,title,desc,starCount,remainTime,skipLock,
1,001,피트 몬드리안,회색과 빨간색 구성,회색과 빨간색의 구성에서도 완성됨이 느껴진다.,1,0,True,
2,002,피트 몬드리안,마름모꼴 구성,인생은 사실 수평과 수직이 안의 마름모꼴이 아닐까,1,0,True,
3,003,피트 몬드리안,구성,이 화면의 구성안에는 세상의 모든 것이 담겨있다.,1,0,True,
4,004,에두아르 마네,바다 전망, 고요한 날씨,그림은 고요할지언정 터치에는 힘이 있다.,2,0,False,
5,005,에드바르 뭉크,해변의 두 여인,흑과 백이 대지처럼 나누어진 두 여인. 무슨 사연일까,2,600,False,
6,006,폴 세뤼지에,르 폴드 그랑 사블 해변,황금빛 해변, 고단함과 고요함이 느껴진다.,2,0,False,
7,007,폴 고갱,화가 어머니의 초상, 이브,고갱이 있기까지는 위대한 화가의 어머니가 있었다.,2,0,False,
8,008,윈슬로 호머,노스우즈 클럽,푸른 숲과 아름다운 동물, 총소리,2,0,False,
9,009,에드바르 뭉크,목욕하는 소년들,자유로운 물속의 소년들. 물에 흩어질 것 같다.,2,0,False,
10,010,요하네스 페르메이르,진주 귀고리를 한 소녀,진주 귀걸이는 정말로 소녀의 귀에 닿은 걸까?,3,600,False,
11,011,에두아르 마네,피리부는 소년,발그레한 볼의 소년에게 제일 먼저 시선이 간다.,3,0,False,
12,012,앙리 드 툴루즈 로트렉,물랑루즈의 영국인,이 작가는 포스터를 작품의 경지로 끌어올렸다.,3,0,False,
13,013,,패턴,1800년대의 직물의 패턴,3,0,False,
14,014,앙리 드 툴루즈 로트렉,아리스티드 브뤼앙,편견 없이 보고, 편견 없이 그린다.,3,0,False,
15,015,,파편,1800년대의 무늬,3,1200,False,
16,016,빈센트 반 고흐,해바라기,해바라기를 그릴 때의 고흐는 행복했다.,4,0,False,
17,017,메리 카사트,모성애,섬세한 선과 아름다운 표현, 판화풍의 그림이다,5,0,False,
18,018,빈센트 반 고흐,귀에 붕대를 감은 자화상,붕대를 품은 판다, 아니 판다를 품은 자화상.,5,0,False,
19,019,메리 카사트,목욕하는 여인,여인의 아름다운 선에 리듬감이 느껴진다.,5,0,False,
20,020,폴 고갱,언제 결혼하니,언제 결혼하니, 그런 걸 왜 묻니,5,1200,False,
21,021,폴 고갱,자화상,자화상과 배경의 물결에는 그의 불안이 담겨있다.,5,0,False,
22,022,빈센트 반 고흐,가셰 박사의 초상,작품을 완성한 달은, 고흐 생의 마지막 달이었다.,5,0,False,
23,023,가쓰시카 호쿠사이,가나가와 해변의 높은 파도아래,세상에서 가장 유명한 파도 그림, 파도가 역동적이다.,6,0,False,
24,024,폴 고갱,꽃을 든 여인,선명하고 아름다운 색감의 이국적인 여인,6,0,False,
25,025,에두아르 마네,뱃놀이,물이 잔잔한 날 친구와 여유를 즐기면 좋겠어,6,1200,False,
26,026,폴 세잔,사과 바구니가 있는 정물,각각 배치되어 있는 사과와 정물에서 고집이 느껴진다,6,0,False,
27,027,마틴 존슨 헤데,블루 벨벳천과 목련,커다랗고 탐스러운 자연물을 그리는 건 즐겁다,5,0,False,
28,028,,민화 호작도, 까치와 호랑이,신년을 맞이하여 좋은 소식을 전한다.,6,0,False,
29,029,지오반니 바티스타 살비,기도하는 성모마리아,가끔 기도하고 싶을 땐 그냥 손을 모아본다,4,0,False,
30,030,가츠카와 슌쇼,배우 오타니 히로지3세,평면의 판화, 색과 선에서 삶이 느껴진다.,6,1200,False,
